127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/container-bg.gif, HTTP/1.1, 200, 0.000330
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/read2-img.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/favicon.ico, HTTP/1.1, 200, 0.000560
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/nav-bg.jpg, HTTP/1.1, 200, 0.000547
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/nav-li-bg.png, HTTP/1.1, 200, 0.000331
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/twitter.png, HTTP/1.1, 200, 0.000557
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/gplus-32.png, HTTP/1.1, 200, 0.000562
127.0.0.1, 2015-11-20 23:49:49, GET, /IIIT_placement/static/images/facebook.png, HTTP/1.1, 200, 0.001344
127.0.0.1, 2015-11-20 23:50:03, GET, /IIIT_placement/default/index, HTTP/1.1, 200, 0.769496
127.0.0.1, 2015-11-20 23:50:03, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.000649
127.0.0.1, 2015-11-20 23:50:12, GET, /, HTTP/1.1, 303, 0.000789
127.0.0.1, 2015-11-20 23:50:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.026352
127.0.0.1, 2015-11-20 23:50:12, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000496
127.0.0.1, 2015-11-20 23:51:19, GET, /admin/default/site, HTTP/1.1, 200, 0.059934
127.0.0.1, 2015-11-20 23:51:24, GET, /admin/default/design/IIIT_placement, HTTP/1.1, 200, 0.144979
127.0.0.1, 2015-11-20 23:51:24, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.001121
127.0.0.1, 2015-11-20 23:51:24, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.000661
127.0.0.1, 2015-11-20 23:51:24, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.000781
127.0.0.1, 2015-11-20 23:51:24, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.000779
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/appadmin/index, HTTP/1.1, 200, 0.088162
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000538
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000444
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/jquery.js, HTTP/1.1, 304, 0.000901
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/calendar.js, HTTP/1.1, 304, 0.001490
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/css/calendar.css, HTTP/1.1, 304, 0.002899
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000380
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/web2py.js, HTTP/1.1, 304, 0.002109
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004763
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001100
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.002237
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/images/twitter.png, HTTP/1.1, 304, 0.001369
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/images/facebook.png, HTTP/1.1, 304, 0.000512
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/static/images/gplus-32.png, HTTP/1.1, 304, 0.001419
127.0.0.1, 2015-11-20 23:51:26, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 0.152240
127.0.0.1, 2015-11-20 23:51:28, GET, /IIIT_placement/appadmin/select/db, HTTP/1.1, 200, 0.124174
127.0.0.1, 2015-11-20 23:51:28, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.000353
127.0.0.1, 2015-11-20 23:54:02, GET, /IIIT_placement/appadmin/index, HTTP/1.1, 200, 0.114780
127.0.0.1, 2015-11-20 23:54:02, GET, /IIIT_placement/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000370
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000858
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000618
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/css/calendar.css, HTTP/1.1, 304, 0.000680
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000663
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/jquery.js, HTTP/1.1, 304, 0.000928
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.002800
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/calendar.js, HTTP/1.1, 304, 0.001923
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/web2py.js, HTTP/1.1, 304, 0.000755
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002386
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/images/facebook.png, HTTP/1.1, 304, 0.000372
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/images/gplus-32.png, HTTP/1.1, 304, 0.000325
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/static/images/twitter.png, HTTP/1.1, 304, 0.000467
127.0.0.1, 2015-11-20 23:54:03, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 0.386907
127.0.0.1, 2015-11-20 23:54:05, GET, /admin/default/design/IIIT_placement, HTTP/1.1, 200, 0.154886
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/default/index, HTTP/1.1, 200, 0.223413
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/css/style.css, HTTP/1.1, 304, 0.000445
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.000309
